Unnamed: 0,Trial,T1,T2,Lag,PosT1,PosT2,Respuesta T1,Respuesta T2,Correcto T1,Correcto T2,Reaction Time T1,Reaction Time T2
0,1,8,6,1,9,1,8,6,1,1,0.9566881999926408,0.8153943000070285
1,2,7,6,1,6,3,6,4,0,0,1.312092099993606,1.0107043999887535
2,3,8,3,4,9,1,8,3,1,1,0.8326165000034962,1.5164239000005182
3,4,6,3,4,6,3,6,3,1,1,0.8851630999997724,0.9208344999933616
4,5,3,6,5,9,3,3,6,1,1,0.7783639999979641,0.6634444000083022
5,6,9,5,3,6,1,9,5,1,1,1.172153399995295,0.6046900000073947
6,7,3,5,4,6,1,3,5,1,1,0.9751857000082964,0.7703592000034405
7,8,5,6,5,6,3,5,6,1,1,0.9921024999930524,0.4141895000066142
8,9,5,6,2,6,3,5,6,1,1,0.9720975999953224,0.4487916999933077
9,10,9,5,7,9,3,9,5,1,1,0.77981579999323,0.5346112999977777
10,11,7,3,5,6,1,7,3,1,1,0.8373269000003347,0.9860518000059528
11,12,7,5,6,9,1,6,5,0,1,3.0622800000128336,0.3287373000057414
12,13,2,8,3,9,3,2,8,1,1,0.8639207999949576,0.6901363999932073
13,14,2,3,1,9,1,2,3,1,1,0.7553558000072371,0.4145054999971762
14,15,6,8,5,9,3,6,8,1,1,0.6508685000007972,0.3341230000078212
15,16,3,5,5,6,3,3,5,1,1,0.6114716000010958,0.4404022999951849
16,17,8,7,3,6,1,8,7,1,1,0.785341700000572,0.3831755999999586
17,18,2,8,2,6,3,2,8,1,1,0.6616738000011537,0.444268799998099
18,19,3,4,7,9,1,3,4,1,1,0.804787100001704,0.6649872999987565
19,20,8,7,3,9,1,8,7,1,1,0.7400793000124395,0.5884519999963231
20,21,2,5,3,6,1,2,5,1,1,0.637690699993982,0.4847437999997055
21,22,5,2,4,9,3,2,8,0,0,0.7747786000109045,0.4714865999994799
22,23,2,8,2,6,3,2,8,1,1,0.4409290000039618,0.4334010999882594
23,24,5,8,4,6,1,8,7,0,0,1.6795712000021012,0.3087681000033626
24,25,3,4,3,9,1,8,3,0,0,0.7729763999959687,0.4745246000093175
25,26,4,3,6,9,3,4,3,1,1,0.7259744000039063,0.3444103999936487
26,27,4,3,4,6,3,4,3,1,1,0.7099215999915032,0.429463599997689
27,28,9,4,5,9,1,9,4,1,1,0.9745133999967948,0.5394899999955669
28,29,6,9,5,6,1,6,9,1,1,0.9979141999938292,0.389217899995856
29,30,8,4,6,6,3,8,4,1,1,0.68999640000402,0.3580096000077901
30,31,5,7,1,6,3,5,7,1,1,0.6800199999997858,0.4390037999983178
31,32,2,3,6,9,3,2,3,1,1,0.7446056999906432,0.3641620999987935
32,33,3,2,6,6,3,3,2,1,1,0.6332856000080938,0.4085836000012932
33,34,9,4,5,6,3,9,4,1,1,0.7161636999953771,0.365040599994245
34,35,3,4,2,6,1,4,3,0,0,0.7135845000011614,0.3891419999999925
35,36,9,5,3,6,3,9,5,1,1,0.6566034999996191,0.3841509999911068
36,37,6,9,7,6,1,6,9,1,1,0.8793421000009403,0.3528672999964328
37,38,9,8,1,6,3,9,8,1,1,0.5784546000068076,0.4191779999964637
38,39,5,6,5,9,1,5,6,1,1,0.6336816999973962,0.354261000000406
39,40,4,2,7,6,3,4,2,1,1,0.8586846999969566,0.4240209999989019
40,41,6,9,5,6,1,6,9,1,1,0.9264104000030784,0.4141485000000102
41,42,4,6,4,6,3,4,6,1,1,0.7364514999935636,0.5746023000101559
42,43,6,4,5,6,1,6,4,1,1,0.9335146999947028,0.5243161000107648
43,44,7,3,7,9,3,7,3,1,1,0.8992581999918912,0.590827400010312
44,45,9,4,4,9,1,9,4,1,1,0.6539422000059858,0.4142585999943549
45,46,7,4,7,9,3,7,4,1,1,0.8180944999912754,0.3590249999979278
46,47,8,7,1,6,1,8,7,1,1,1.3875217999884626,0.5246130999876186
47,48,8,4,3,6,3,8,4,1,1,0.702799499995308,0.4293408999947132
48,49,9,2,7,6,1,9,7,1,0,0.9299662999983412,1.5489274000137812
49,50,7,8,5,9,1,7,8,1,1,0.828109999987646,0.3390098000090802
50,51,2,9,2,9,3,2,9,1,1,0.8310477000050014,0.3842064999917056
51,52,7,3,6,6,1,6,7,0,0,1.8945914000069024,0.2838424999936251
52,53,4,2,5,6,3,4,2,1,1,0.7825328999897465,0.3939503000001423
53,54,2,8,6,6,1,8,2,0,0,0.785951700003352,0.4395274999988032
54,55,7,5,4,6,3,7,8,1,0,0.8134033999958774,0.2944290000014007
55,56,5,4,7,9,1,5,4,1,1,1.1797750999976415,0.400206899998011
56,57,2,3,4,9,1,2,3,1,1,0.6718046000023605,0.2487208999955328
57,58,2,7,4,9,1,2,7,1,1,0.664178200007882,0.4644103999889921
58,59,5,9,4,6,3,5,9,1,1,0.6127937999990536,0.5789006999984849
59,60,2,4,6,6,1,2,4,1,1,0.8227423000062117,0.3740889999899082
60,61,4,3,1,6,3,4,5,1,0,0.9369007000059356,0.6097603999951389
61,62,7,2,1,6,3,7,2,1,1,0.69646659999853,0.5797731000056956
62,63,6,9,7,6,1,6,9,1,1,0.74717810000584,0.3848328000021865
63,64,5,6,1,6,3,5,6,1,1,0.6834971999924164,0.2738707999960752
64,65,4,8,3,6,1,4,8,1,1,0.6476450999907684,0.3438070999982301
65,66,7,3,4,6,3,7,3,1,1,0.664613000000827,0.5613729000033345
66,67,2,5,4,6,3,2,8,1,0,0.7045569000038086,0.3439785999944433
67,68,8,2,3,9,3,8,2,1,1,0.8033313000050839,0.2939791999961016
68,69,3,5,2,9,3,8,5,0,1,1.0633494000067003,0.2438941000000341
69,70,4,6,4,9,3,4,6,1,1,0.7892762999981642,0.3349508999963291
70,71,2,9,7,6,3,2,9,1,1,0.9451465000020108,0.3541054000088479
71,72,6,5,5,6,3,6,5,1,1,0.6297619999968447,0.4142800999979954
72,73,9,3,6,6,1,9,3,1,1,0.9295225999958348,0.3337749000056647
73,74,5,9,7,9,1,5,9,1,1,0.8314303000079235,0.4642433999979403
74,75,7,3,7,6,3,7,3,1,1,0.7694353999977466,0.5948977999942144
75,76,7,2,7,9,1,7,2,1,1,0.7013326000014786,0.5744407000020146
76,77,5,3,2,9,3,5,3,1,1,0.8674510999990162,0.4295291000016732
77,78,7,3,6,6,1,7,3,1,1,0.7175125999929151,0.534374700000626
78,79,8,4,3,9,3,8,4,1,1,0.8173074000078486,0.3540561999980127
79,80,2,4,7,6,1,2,4,1,1,0.6732941000082064,0.4141272000124445
80,81,8,7,3,9,1,8,7,1,1,0.7987788999889744,0.3841772000014316
81,82,4,3,1,9,3,3,6,0,0,0.7052471999923,0.714229899997008
82,83,2,5,2,6,1,2,5,1,1,0.668850800007931,0.4641780000092694
83,84,3,6,2,6,1,3,6,1,1,0.7505836000054842,0.4341820999979973
84,85,7,9,6,9,3,8,9,0,1,1.4305068999965442,0.2238726999930804
85,86,4,6,2,9,3,4,6,1,1,0.7763783000118565,0.3147398000000976
86,87,4,5,1,6,3,4,5,1,1,0.7312462999980198,0.263765700001386
87,88,9,8,3,9,3,9,8,1,1,0.8082370000047376,0.4441891999886138
88,89,8,2,7,9,3,8,2,1,1,0.6252492000057828,0.309332800010452
89,90,2,4,1,6,1,2,8,1,0,0.6706583999912255,0.4231175000022631
90,91,4,3,2,6,1,4,3,1,1,0.7801069999986794,0.3691521000000648
91,92,9,7,3,9,1,9,7,1,1,0.8506474000023445,0.3091788000019733
92,93,2,9,6,9,1,8,2,0,0,0.5905766000068979,0.2846422000002349
93,94,2,8,1,9,1,2,8,1,1,0.630018600000767,0.3349654000048758
94,95,8,5,6,9,1,8,5,1,1,0.7498897000041325,0.3738572000002023
95,96,7,5,5,6,3,7,5,1,1,1.0488459000043804,0.2988790000090375
96,97,8,5,1,9,3,8,5,1,1,0.9004129999957513,0.4140730999934021
97,98,4,5,5,9,1,8,5,0,1,1.040328099988983,0.4144253999984357
98,99,6,4,3,9,1,6,4,1,1,0.7290264000039315,0.4417051999917021
99,100,3,9,7,6,3,3,9,1,1,0.7215418000123464,0.2938452999951551
100,101,9,2,2,6,3,9,2,1,1,0.6994648999971105,0.278832500000135
101,102,7,6,2,6,1,7,6,1,1,0.8802699999941979,0.2788931000104639
102,103,9,7,2,9,1,9,7,1,1,1.0786464999982854,0.3235234000021592
103,104,6,9,3,9,1,6,9,1,1,0.6906767999898875,0.8096430000005057
104,105,5,7,6,9,1,8,5,0,0,0.5329115000058664,0.3186143999919295
105,106,9,3,5,9,3,9,3,1,1,0.8629109999892535,0.3237252000108128
106,107,5,4,4,9,3,5,4,1,1,1.1099130000075093,0.2937860000092769
107,108,8,9,6,6,1,8,9,1,1,0.8403832000039984,1.0212294000084512
108,109,8,2,6,6,3,8,2,1,1,0.8136845999979414,0.2787627000070642
109,110,6,9,4,6,3,6,9,1,1,0.6811715999938315,0.4847788999904878
110,111,3,6,4,9,1,3,6,1,1,0.7379191999934847,0.3895854000002146
111,112,7,4,1,6,3,4,6,0,0,1.1776707000099125,0.3489277999906335
112,113,6,9,7,6,1,6,9,1,1,0.998293399999966,0.2234716999955708
113,114,6,5,2,9,1,6,5,1,1,0.6349147000000812,0.2394818000029772
114,115,4,2,5,6,3,4,2,1,1,0.603753899995354,0.3543564999999944
115,116,4,7,7,9,3,4,8,1,0,0.7451211000006879,0.2940296000015223
116,117,5,9,7,9,3,5,9,1,1,0.7798874000000069,0.3230049000121653
117,118,8,5,1,6,1,8,5,1,1,0.8621217000036268,0.2488862000027438
118,119,4,6,7,9,3,4,6,1,1,0.6479553000099258,0.3141113999881781
119,120,2,4,2,9,1,2,4,1,1,0.6775491000007605,0.2933441000059247
120,121,7,9,6,9,1,8,9,0,1,0.8397263000078965,0.9106308000045829
121,122,8,7,1,9,1,8,5,1,0,1.007343999997829,0.4446498000033898
122,123,8,2,4,9,3,8,2,1,1,0.4930824000039138,0.3090066000004299
123,124,9,8,2,6,1,9,8,1,1,0.7628160000022035,0.3842265000130282
124,125,8,3,6,9,1,8,3,1,1,0.6681968000048073,0.2487612000113586
125,126,6,3,6,6,1,8,3,0,1,0.7081180999957724,0.2887767999927746
126,127,5,2,1,6,3,8,5,0,0,2.441001300001517,0.6800533000059659
127,128,8,3,5,6,1,8,3,1,1,0.7282451000064611,0.2486462000088067
128,129,2,6,1,6,3,2,8,1,0,0.5154494000016712,0.3430971000052523
129,130,7,5,2,6,1,7,5,1,1,0.7781882999988738,0.3844190999952843
130,131,6,8,4,9,3,6,8,1,1,1.798154499992961,0.4738501000101678
131,132,7,6,2,6,1,7,6,1,1,0.8980088999960572,0.2490122000017436
132,133,5,9,1,6,1,5,9,1,1,0.8703615999984322,0.2437101999967126
133,134,3,7,3,9,3,3,7,1,1,0.6352794999984326,0.2739126999949803
134,135,3,8,5,9,1,3,8,1,1,0.8402558999950998,0.2839364000101341
135,136,9,3,3,9,1,9,3,1,1,0.8067843000026187,0.3991797999915434
136,137,5,4,6,9,3,5,4,1,1,0.7072076000040397,0.278704900003504
137,138,4,7,3,6,1,4,7,1,1,0.629007299998193,0.2939531000010902
138,139,4,6,2,9,1,4,6,1,1,0.6877298999897903,0.3137070999946445
139,140,3,6,3,6,1,3,6,1,1,0.6911896000092383,0.3550889999896753
0,1,2,5,1,6,3,2,5,1,1,1.3575606001541018,0.720326199894771
1,2,6,7,7,6,3,6,7,1,1,1.2223505999427289,0.3149838999379426
2,3,5,3,4,6,3,5,3,1,1,1.0411135000176728,0.7653876000549644
3,4,8,2,1,6,1,8,2,1,1,1.7322225000243634,0.3888975998852402
4,5,4,6,3,9,1,3,6,0,1,1.2021018001250925,0.9425478000193834
5,6,5,8,3,9,3,5,8,1,1,1.390245100017637,0.3190232999622822
6,7,3,6,3,6,1,3,6,1,1,1.308825500076637,0.8468456999398768
7,8,7,2,3,9,1,7,2,1,1,1.0606859000399709,0.5095406000036746
8,9,6,9,6,9,1,6,9,1,1,1.5754184999968857,0.3692630000878125
9,10,5,7,5,9,3,5,7,1,1,1.0765154000837356,0.2134433998726308
10,11,9,3,4,9,3,9,3,1,1,0.9163142999168484,0.4461990999989211
11,12,4,8,3,6,3,4,8,1,1,1.0837795999832451,0.4545750999823212
12,13,6,9,3,9,1,6,9,1,1,1.740853999974206,0.1684884000569582
13,14,3,6,7,9,3,3,6,1,1,1.0869438999798149,0.6193395999725908
14,15,3,6,3,9,1,3,6,1,1,1.1842577999923378,0.5804038001224399
15,16,7,2,6,9,3,3,2,0,1,1.328169799875468,0.2939184999559074
16,17,4,5,3,6,3,4,5,1,1,0.936399599770084,0.2437670999206602
17,18,2,6,6,6,1,2,6,1,1,1.0803445999044925,0.3292930999305099
18,19,9,4,4,6,3,9,4,1,1,1.1502264000009743,0.4896833000238985
19,20,2,3,7,6,1,2,3,1,1,1.0379358001518997,0.2839011999312788
20,21,7,6,1,9,3,3,6,0,1,1.4183210998307914,0.464535899925977
21,22,8,3,2,6,3,8,3,1,1,1.03929500002414,0.5086383998859674
22,23,9,8,5,9,1,9,3,1,0,1.675709100207314,0.4190247999504208
23,24,8,9,7,9,1,8,9,1,1,1.0146711000707,0.2289591999724507
24,25,3,9,1,6,1,3,9,1,1,1.496739499969408,0.519754699897021
25,26,7,8,1,9,3,2,7,0,0,1.9497854001820087,0.3497136000078171
26,27,9,5,4,6,1,9,5,1,1,1.486633000196889,0.3995967998635024
27,28,3,8,4,6,1,3,8,1,1,1.6203729999251664,0.3829312000889331
28,29,7,2,2,6,3,7,2,1,1,1.173236500006169,0.5647803999017924
29,30,7,3,1,6,3,7,3,1,1,1.2807964000385257,0.4838884999044239
30,31,5,8,4,6,1,5,8,1,1,1.3363049998879433,0.8057300001382828
