Unnamed: 0,Trial,T1,T2,Lag,PosT1,PosT2,Respuesta T1,Respuesta T2,Correcto T1,Correcto T2,Reaction Time T1,Reaction Time T2
0,1,3,5,3,9,3,3,5,1,1,0.7059282000409439,1.7133838000008836
1,2,8,6,3,6,1,8,6,1,1,0.9180256000254304,0.7802211999660358
2,3,6,2,5,9,3,6,2,1,1,0.8154538999078795,0.6500238999724388
3,4,7,4,3,9,3,7,4,1,1,0.7554055999498814,0.7085278999293223
4,5,7,9,7,6,1,7,9,1,1,0.8321667000418529,0.4343600999563932
5,6,9,5,2,9,1,9,5,1,1,0.8991938999388367,0.4043933999491855
6,7,3,8,2,6,1,3,8,1,1,0.7913608000380918,0.4997374999802559
7,8,9,3,3,9,1,9,3,1,1,0.8131721999961883,0.415241300011985
8,9,6,4,5,6,1,6,8,1,0,1.1409838000545278,0.4041693999897688
9,10,3,6,4,6,3,6,5,0,0,1.0141833999659866,0.6814746999880299
10,11,7,6,1,6,3,7,6,1,1,0.7692292999709025,0.6705741999903694
11,12,6,9,7,6,1,6,9,1,1,1.07456890004687,0.7442254000343382
12,13,5,4,1,6,1,5,4,1,1,1.3770088000455871,0.2836591000668704
13,14,4,7,3,6,1,4,7,1,1,0.7646699999459088,0.4746218000072986
14,15,2,6,6,6,3,2,6,1,1,0.7200800999999046,0.4893671000609174
15,16,6,7,1,6,3,6,8,1,0,1.3001340999035165,1.9195235000224784
16,17,8,9,7,9,1,8,9,1,1,0.7317133999895304,0.5245843000011519
17,18,3,5,1,9,3,3,5,1,1,0.8055726999882609,0.4205740999896079
18,19,8,7,3,6,1,8,7,1,1,0.8499453000258654,0.3939394999761134
19,20,4,9,4,9,3,8,9,0,1,1.6448282001074404,0.2799663000041619
20,21,4,5,2,9,1,8,4,0,0,0.8159912000410259,0.3787563999649137
21,22,2,6,7,6,1,2,6,1,1,0.9031592999817804,0.4735428000567481
22,23,9,7,7,9,1,9,7,1,1,0.8064675000496209,0.2988195000216365
23,24,2,3,1,9,1,8,2,0,0,0.7811509999446571,0.3331062999786809
24,25,4,6,6,9,3,4,6,1,1,0.7023012000136077,0.5597603000933304
25,26,5,2,4,6,3,5,2,1,1,0.715668199933134,0.4844227000139653
26,27,7,4,7,6,3,7,4,1,1,0.8013149000471458,0.594837800017558
27,28,5,8,2,6,3,5,8,1,1,1.2254257999593392,0.2784715000307187
28,29,2,5,1,6,3,2,6,1,0,1.1302423001034183,0.6901009000139311
