PARTICIPANT	SESSION_TIMESTAMP	TRIAL_N	CURRENT_TRIAL	TRIAL_TYPE	TRIAL_START_TIME	FIXATION_ONSET_TIME	STIM_ONSET_TIME	MASK_ONSET_TIME	RESPONSE_GIVEN_TIME	RT_REL_STIM_ONSET	RT_REL_MASK_ONSET	ACCURACY	TIMEOUT
S01	2021-01-13 18:19:51	1	G	NON_BLINK	1610562005.9126089	1610562005.9236107	1610562006.3316092	1610562006.54361	1610562006.780608	0.44899868965148926	0.2369978427886963	1	0
S01	2021-01-13 18:19:51	2	G	NON_BLINK	1610562006.780608	1610562006.7876084	1610562007.1956093	1610562007.4066122	1610562007.57361	0.37800073623657227	0.16699790954589844	1	0
S01	2021-01-13 18:19:51	3	G	NON_BLINK	1610562007.57361	1610562007.581609	1610562008.142609	1610562008.3496087	1610562008.521607	0.3789980411529541	0.1719982624053955	1	0
S01	2021-01-13 18:19:51	4	G	NON_BLINK	1610562008.521607	1610562008.5286086	1610562009.037609	1610562009.2456088	1610562009.4496067	0.41199755668640137	0.20399785041809082	1	0
S01	2021-01-13 18:19:51	5	G	BLINK	1610562009.4496067	1610562011.4678843	1610562012.076884	1610562012.2858837	1610562012.499883	0.42299890518188477	0.21399927139282227	1	0
S01	2021-01-13 18:19:51	6	NG	NON_BLINK	1610562012.499883	1610562012.5078835	1610562013.0178828	1610562013.2288842	1610562014.2798803	1.2619974613189697	1.0509960651397705	1	1
S01	2021-01-13 18:19:51	7	G	NON_BLINK	1610562014.2798803	1610562014.2898843	1610562014.8998802	1610562015.1088815	1610562015.3288803	0.4290001392364502	0.21999883651733398	1	0
S01	2021-01-13 18:19:51	8	NG	NON_BLINK	1610562015.3288803	1610562015.3378804	1610562015.8468802	1610562016.0548794	1610562017.1058784	1.258998155593872	1.0509989261627197	1	1
S01	2021-01-13 18:19:51	9	G	NON_BLINK	1610562017.1058784	1610562017.1158786	1610562017.6272185	1610562017.8358796	1610562018.1828778	0.555659294128418	0.3469982147216797	1	0
S01	2021-01-13 18:19:51	10	G	BLINK	1610562018.1828778	1610562020.2078774	1610562020.7688773	1610562020.978185	1610562021.3338761	0.5649988651275635	0.35569119453430176	1	0
S01	2021-01-13 18:19:51	11	G	NON_BLINK	1610562021.3338761	1610562021.340876	1610562021.8008761	1610562022.0088754	1610562022.3418748	0.5409986972808838	0.33299946784973145	1	0
S01	2021-01-13 18:19:51	12	G	NON_BLINK	1610562022.3418748	1610562022.3498752	1610562022.8088746	1610562023.0178745	1610562023.269874	0.4609994888305664	0.2519996166229248	1	0
S01	2021-01-13 18:19:51	13	G	NON_BLINK	1610562023.269874	1610562023.2778752	1610562023.6868746	1610562023.8968737	1610562024.2028744	0.5159997940063477	0.3060007095336914	1	0
S01	2021-01-13 18:19:51	14	G	NON_BLINK	1610562024.2028744	1610562024.2118742	1610562024.8208728	1610562025.029872	1610562025.306872	0.48599910736083984	0.27699995040893555	1	0
S01	2021-01-13 18:19:51	15	G	BLINK	1610562025.306872	1610562027.3238702	1610562027.7808728	1610562027.9918702	1610562028.3618705	0.5809977054595947	0.37000036239624023	1	0
S01	2021-01-13 18:19:51	16	G	NON_BLINK	1610562028.3618705	1610562028.3698707	1610562028.8288708	1610562029.0368688	1610562029.32487	0.4959993362426758	0.28800129890441895	1	0
S01	2021-01-13 18:19:51	17	NG	NON_BLINK	1610562029.32487	1610562029.33287	1610562029.8928683	1610562030.1008687	1610562031.1518672	1.2589988708496094	1.0509984493255615	1	1
S01	2021-01-13 18:19:51	18	NG	NON_BLINK	1610562031.1518672	1610562031.1598692	1610562031.7698677	1610562031.9778671	1610562033.0278673	1.2579996585845947	1.0500001907348633	1	1
S01	2021-01-13 18:19:51	19	G	NON_BLINK	1610562033.0288668	1610562033.0368671	1610562033.6458662	1610562033.8538666	1610562034.1718647	0.525998592376709	0.31799817085266113	1	0
S01	2021-01-13 18:19:51	20	G	BLINK	1610562034.1718647	1610562036.1918647	1610562036.7518644	1610562036.959863	1610562037.2568645	0.505000114440918	0.29700160026550293	1	0
S01	2021-01-13 18:19:51	21	G	NON_BLINK	1610562037.2568645	1610562037.268864	1610562037.680862	1610562037.8908632	1610562038.1498616	0.46899962425231934	0.25899839401245117	1	0
S01	2021-01-13 18:19:51	22	G	NON_BLINK	1610562038.1498616	1610562038.1578634	1610562038.6668622	1610562038.8778613	1610562039.1228619	0.45599961280822754	0.24500060081481934	1	0
S01	2021-01-13 18:19:51	23	NG	NON_BLINK	1610562039.1228619	1610562039.1298623	1610562039.5408626	1610562039.7508602	1610562040.8008606	1.259998083114624	1.0500004291534424	1	1
S01	2021-01-13 18:19:51	24	G	NON_BLINK	1610562040.8008606	1610562040.8088603	1610562041.217862	1610562041.4278605	1610562041.745861	0.5279991626739502	0.31800055503845215	1	0
S01	2021-01-13 18:19:51	25	NG	BLINK	1610562041.745861	1610562043.7618587	1610562044.322858	1610562044.533857	1610562045.5838556	1.2609975337982178	1.0499985218048096	1	1
S01	2021-01-13 18:19:51	26	NG	NON_BLINK	1610562045.5838556	1610562045.5918555	1610562046.099857	1610562046.307857	1610562047.3578541	1.2579970359802246	1.049997091293335	1	1
S01	2021-01-13 18:19:51	27	G	NON_BLINK	1610562047.3578541	1610562047.3658552	1610562047.8268552	1610562048.035855	1610562048.4288547	0.6019995212554932	0.39299964904785156	1	0
S01	2021-01-13 18:19:51	28	NG	NON_BLINK	1610562048.4288547	1610562048.4368548	1610562049.0458531	1610562049.253853	1610562050.304853	1.2589998245239258	1.0509998798370361	1	1
S01	2021-01-13 18:19:51	29	G	NON_BLINK	1610562050.304853	1610562050.3128533	1610562050.8218527	1610562051.0308533	1610562051.418853	0.5970003604888916	0.3879997730255127	1	0
S01	2021-01-13 18:19:51	30	NG	BLINK	1610562051.418853	1610562053.4388504	1610562054.04785	1610562054.2578502	1610562055.308849	1.2609992027282715	1.0509989261627197	1	1
S01	2021-01-13 18:19:51	31	NG	NON_BLINK	1610562055.308849	1610562055.31785	1610562055.7278495	1610562055.9358478	1610562056.9868464	1.2589969635009766	1.0509986877441406	1	1
S01	2021-01-13 18:19:51	32	G	NON_BLINK	1610562056.9868464	1610562056.994847	1610562057.4548464	1610562057.6638477	1610562057.8698468	0.41500043869018555	0.20599913597106934	1	0
S01	2021-01-13 18:19:51	33	NG	NON_BLINK	1610562057.8698468	1610562057.876847	1610562058.3848453	1610562058.5958471	1610562059.6458452	1.2609999179840088	1.0499980449676514	1	1
